Source,relation,Target
糕点,是,软的
糕点,是,主食
糕点,像,大饼
糕点,像,艺术品
糕点,有,多种形状
糕点,有,多种颜色
糕点,有,口感
糕点,有,油
鸽子,可以,飞
鸽子,有,翅膀
鸽子,需要,水
鸽子,有,羽毛
鸽子,有,嘴巴
鸽子,可以,送信
鸽子,有,爪子
鸽子,需要,睡觉
鸽子,是,白色的
鸽子,是,禽类
鸽子,需要,饲养
鸽子,需要,空气
鸽子,像,麻雀
鸽子,需要,保护
鸽子,需要,谷物
鸽子,有,多种颜色
鸽子,有,眼睛
鸽子,有,头
鸽子,可以,传信
鸽子,是,生物
鸽子,像,飞机
鸽子,像,海鸥
鸽子,像,喜鹊
鸽子,像,燕子
鸽子,需要,训练
鸽子,有,多种种类
鸽子,有,脚
鸽子,可以,传递信息
鸽子,可以,认家
鸽子,其他,和平
鸽子,其他,和平的象征
鸽子,是,聪明的
鸽子,是,和平的
鸽子,是,灰色的
鸽子,是,家养的
鸽子,是,象征
鸽子,像,大雁
鸽子,像,鸡
鸽子,需要,排泄
鸽子,需要,阳光
鸽子,有,尖嘴巴
鸽子,有,腿
鸽子,有,尾巴
割草机,是,机器
割草机,可以,割草
割草机,有,刀
割草机,需要,电
割草机,是,工具
割草机,有,发动机
割草机,有,把手
割草机,可以,除草
割草机,有,扶手
割草机,像,拖拉机
割草机,需要,动力
割草机,有,轮子
割草机,是,金属
割草机,像,收割机
割草机,像,吸尘器
割草机,需要,草地
割草机,需要,燃料
割草机,有,刀盘
割草机,有,刀片
割草机,可以,发声
割草机,可以,修剪草坪
割草机,是,便捷的
割草机,是,锋利的
割草机,像,除草机
割草机,像,手推车
割草机,需要,工人
割草机,需要,汽油
割草机,需要,人工
割草机,需要,人工操作
割草机,需要,维护
割草机,有,割刀
羹汤,可以,饮用
羹汤,有,水
羹汤,是,汤
羹汤,有,肉
羹汤,有,营养
羹汤,是,液体
羹汤,像,粥
羹汤,需要,烹饪
羹汤,需要,制造
羹汤,有,蔬菜
羹汤,有,调料
羹汤,需要,熬
羹汤,有,盐
羹汤,有,味道
羹汤,可以,暖胃
羹汤,像,饮料
羹汤,需要,火
羹汤,需要,加热
羹汤,需要,煮
羹汤,有,油
羹汤,是,粘稠的
羹汤,需要,煲
羹汤,有,菜
羹汤,可以,饱腹
羹汤,可以,补身体
羹汤,可以,解渴
羹汤,是,好吃的
羹汤,是,热的
羹汤,是,汤类
羹汤,像,米糊
羹汤,像,清汤
羹汤,像,肉汤
羹汤,有,多种味道
羹汤,有,多种颜色
公告牌,有,文字
公告牌,是,牌子
公告牌,有,图像
公告牌,有,信息
公告牌,可以,宣传
公告牌,是,公告
公告牌,像,广告牌
公告牌,像,黑板
公告牌,是,榜单
公告牌,是,方形的
公告牌,像,海报
公告牌,需要,维护
公告牌,有,多种颜色
公告牌,可以,传递信息
公告牌,可以,告示
公告牌,可以,告知
公告牌,可以,公告
公告牌,可以,贴告示
公告牌,可以,贴公告
公告牌,可以,通知
公告牌,是,木的
公告牌,是,物品
公告牌,是,硬的
公告牌,像,木板
公告牌,需要,更新
公告牌,需要,清理
公告牌,需要,制造
公告牌,有,钉子
公告牌,有,多种种类
公告牌,有,杆子
公告牌,有,内容
公鸡,有,鸡冠
公鸡,可以,打鸣
公鸡,需要,水
公鸡,有,嘴巴
公鸡,是,禽类
公鸡,有,羽毛
公鸡,是,家养的
公鸡,需要,空气
公鸡,是,雄性
公鸡,有,眼睛
公鸡,有,爪子
公鸡,是,鸡
公鸡,有,翅膀
公鸡,像,母鸡
公鸡,需要,饲养
公鸡,有,尾巴
公鸡,需要,睡觉
公鸡,可以,飞
公鸡,需要,谷物
公鸡,像,鸭子
公鸡,有,脚
公鸡,有,头
公鸡,有,腿
公鸡,可以,繁衍
公鸡,其他,不会下蛋
公鸡,是,生物
公鸡,像,鹅
公鸡,像,孔雀
公鸡,像,中国地图
公鸡,有,鸡毛
公鸡,有,两条腿
公鸡,可以,报时
公鸡,可以,报晓
公鸡,可以,跑
公鸡,可以,跳
公鸡,是,凶的
公鸡,是,雄性的
公鸡,像,凤凰
公鸡,需要,阳光
公鸡,有,多种种类
公鸡,有,鸡爪
公鸡,有,尖嘴巴
公交车,是,工具
公交车,其他,交通
公交车,有,座位
公交车,有,轮子
公交车,需要,司机
公交车,有,窗户
公交车,可以,乘坐
公交车,可以,驾驶
公交车,是,公共的
公交车,像,大巴车
公交车,需要,加油
公交车,需要,油
公交车,可以,行驶
公交车,是,便利的
公交车,是,大的
公交车,像,面包
公交车,需要,汽油
公交车,需要,清洗
公交车,有,扶手
公交车,可以,出行
公交车,可以,代步
公交车,像,房车
公交车,需要,保养
公交车,需要,电
公交车,需要,付费
公交车,需要,燃料
公交车,有,车厢
公交车,有,多种型号
公交车,有,发动机
公交车,有,方向盘
公交车,有,路线
公交车,可以,刷卡
公交车,可以,投币
公交车,可以,载人
公交车,是,便宜的
公交车,是,机动的
公交车,是,机械
公交车,像,巴士
公交车,像,出租车
公交车,像,大巴
公交车,像,盒子
公交车,像,面包车
公交车,需要,动力
公交车,需要,交钱
公交车,需要,刷卡
公交车,需要,投币
公交车,需要,维护
公交车,需要,修理
公交车,有,车身
公交车,有,门
公交车,有,人
公交车,有,售票员
公交车,有,刷卡器
公交车,有,线路
公墓,有,墓碑
公墓,是,墓地
公墓,可以,安葬
公墓,是,场所
公墓,是,公共的
公墓,需要,打扫
公墓,可以,买卖
公墓,其他,死人
公墓,可以,纪念
公墓,可以,祭奠
公墓,是,坟墓
公墓,可以,祭拜
公墓,是,贵的
公墓,是,陵墓
公墓,有,石头
公墓,有,土
公墓,有,文字
公墓,有,鲜花
公墓,是,安静的
公墓,是,可怕的
公墓,是,死亡
公墓,是,肃穆的
公墓,像,公园
公墓,像,石碑
公墓,有,多种种类
公墓,有,坟墓
公墓,有,纪念意义
公文包,是,包
公文包,有,拉链
公文包,有,带子
公文包,可以,买卖
公文包,是,皮的
公文包,是,办公用品
公文包,需要,保养
公文包,需要,清洗
公文包,有,多种样式
公文包,像,书包
公文包,是,用品
公文包,像,电脑包
公文包,有,布
公文包,可以,背
公文包,是,背包
公文包,是,配饰
公文包,是,容器
公文包,是,长方形
公文包,是,正式的
公文包,像,文件夹
公文包,需要,制造
公文包,有,袋子
公文包,有,提手
公文包,可以,放文件
公文包,是,便利的
公文包,是,方形的
公文包,是,黑色的
公文包,是,物品
公文包,像,盒子
公文包,像,钱包
公文包,有,包身
公文包,有,多种材质
公文包,有,多种颜色
公文包,有,皮
公文包,有,文件
拱门,是,门
拱门,像,桥
拱门,像,彩虹
拱门,需要,充气
拱门,需要,建造
拱门,需要,维护
拱门,有,弧度
拱门,有,砖头
拱门,可以,通行
拱门,是,圆形
拱门,有,多种型号
拱门,有,石头
拱门,可以,过人
拱门,是,拱形的
拱门,是,弯的
拱门,需要,设计
拱门,需要,水泥
拱门,需要,制造
拱门,有,多种形状
拱门,可以,保护
拱门,可以,开关
拱门,是,门的一种
拱门,是,上端呈弧形的门
拱门,像,拱桥
拱门,像,麦当劳
拱门,需要,材料制作
拱门,需要,修建
拱门,有,多种颜色
拱门,有,多种样式
拱门,有,高度
拱门,有,门框
沟渠,有,水
沟渠,需要,挖
沟渠,可以,灌溉
沟渠,是,沟壑
沟渠,需要,清理
沟渠,可以,排水
沟渠,是,深的
沟渠,有,凹槽
沟渠,可以,流水
沟渠,是,黑暗的
沟渠,是,坑
沟渠,是,宽的
沟渠,是,窄的
沟渠,像,沟
沟渠,像,下水道
沟渠,像,血管
沟渠,有,泥土
沟渠,有,污水
篝火,是,火
篝火,可以,取暖
篝火,需要,木材
篝火,需要,点火
篝火,需要,柴
篝火,可以,燃烧
篝火,需要,火种
篝火,可以,烧烤
篝火,是,红色的
篝火,是,亮的
篝火,是,温暖的
篝火,像,烟花
篝火,有,人
篝火,有,温度
篝火,可以,烤肉
篝火,可以,营造氛围
篝火,其他,篝火晚会
篝火,是,暖和的
篝火,有,光
篝火,有,热气
篝火,有,树枝
狗,像,狼
狗,需要,水
狗,需要,睡觉
狗,有,耳朵
狗,有,四肢
狗,有,尾巴
狗,需要,空气
狗,有,多种种类
狗,有,毛
狗,有,眼睛
狗,有,嘴巴
狗,可以,看家
狗,是,宠物
狗,是,可爱的
狗,有,鼻子
狗,有,牙齿
狗,可以,看门
狗,可以,跑
狗,有,腿
狗,可以,叫
狗,是,哺乳类
狗,是,朋友
狗,可以,娱乐
狗,是,忠诚的
狗,需要,呼吸
狗,有,舌头
狗,有,头
狗,可以,保护
狗,可以,咬
狗,是,肉食类
狗,是,凶的
狗,需要,保护
狗,需要,饲养
狗,有,爪子
狗,可以,捕猎
狗,可以,遛狗
狗,可以,买卖
狗,可以,驯化
狗,可以,咬人
狗,是,家养的
狗,是,犬科哺乳动物
狗,是,人类的好朋友
狗,是,玩具
狗,是,温和的
狗,像,孩童
狗,像,猫
狗,需要,营养
狗,有,多种颜色
狗,有,哈士奇
狗,有,拉布拉多
狗,有,身体
狗粮,可以,买卖
狗粮,其他,狗
狗粮,像,饼干
狗粮,有,营养
狗粮,像,猫粮
狗粮,需要,制造
狗粮,可以,给狗吃
狗粮,可以,喂狗
狗粮,有,多种味道
狗粮,有,多种种类
狗粮,是,粮食
狗粮,有,味道
狗粮,可以,饱腹
狗粮,其他,宠物
狗粮,是,贵的
狗粮,是,香的
狗粮,像,羊屎
狗粮,有,进口的
狗肉,是,肉
狗肉,其他,狗
狗肉,像,猪肉
狗肉,像,羊肉
狗肉,需要,煮
狗肉,需要,烹饪
狗肉,像,牛肉
狗肉,有,味道
狗肉,有,脂肪
狗肉,是,红色的
狗肉,可以,买卖
狗肉,需要,炖
狗肉,需要,切
狗肉,需要,杀狗
狗肉,需要,调料
狗肉,需要,制造
狗肉,有,蛋白质
狗肉,有,肥肉
狗肉,有,皮
狗肉,有,瘦肉
狗肉,有,营养
狗尾草,有,毛
狗尾草,像,狗尾巴
狗尾草,是,绿色的
狗尾草,需要,水
狗尾草,需要,阳光
狗尾草,需要,土
狗尾草,有,叶子
狗尾草,是,草
狗尾草,需要,空气
狗尾草,有,根
狗尾草,有,茎
狗尾草,有,种子
狗尾草,是,药
狗尾草,可以,娱乐
狗尾草,是,长的
狗尾草,像,蒲公英
狗尾草,是,草本类
狗尾草,是,野生的
狗尾草,像,尾巴
狗尾草,需要,铲除
狗尾草,需要,氧气
狗尾草,需要,种植
狗尾草,有,果实
狗项圈,其他,狗
狗项圈,是,圆形
狗项圈,像,项链
狗项圈,需要,脖子
狗项圈,可以,戴
狗项圈,是,用品
狗项圈,有,多种型号
狗项圈,是,金属
狗项圈,其他,宠物
狗项圈,可以,拴狗
狗项圈,有,多种样式
狗项圈,可以,买卖
狗项圈,是,皮的
狗项圈,像,圆环
狗项圈,需要,制造
狗项圈,有,多种材质
狗项圈,有,绳子
狗项圈,可以,戴在狗脖子上
狗项圈,可以,束缚狗
狗项圈,是,圈
狗项圈,像,手镯
狗项圈,需要,清洗
狗项圈,有,布
狗项圈,有,多种颜色
狗项圈,可以,栓狗
狗项圈,是,狗链
狗项圈,是,饰品
狗项圈,像,风火轮
狗项圈,像,手环
狗项圈,像,甜甜圈
狗项圈,需要,戴在狗脖子上
狗项圈,需要,调节大小
狗项圈,有,扣子
狗项圈,有,拉绳
狗项圈,有,链子
狗项圈,有,铃铛
枸杞,是,红色的
枸杞,可以,冲泡
枸杞,需要,阳光
枸杞,是,药
枸杞,可以,养生
枸杞,像,葡萄干
枸杞,需要,采摘
枸杞,有,果实
枸杞,需要,水
枸杞,需要,种植
枸杞,有,皮
枸杞,是,甜的
枸杞,需要,土
枸杞,有,营养
枸杞,有,种子
枸杞,可以,饮用
枸杞,是,保健品
枸杞,是,小的
枸杞,像,红枣
枸杞,需要,晾干
枸杞,有,多种种类
枸杞,有,果肉
枸杞,可以,熬
枸杞,可以,炖汤
枸杞,可以,明目
枸杞,可以,泡酒
枸杞,是,干的
枸杞,是,中药
枸杞,像,红豆
枸杞,像,葡萄
枸杞,需要,空气
枸杞,需要,清洗
枸杞,可以,炒
枸杞,可以,买卖
枸杞,是,茄科
枸杞,是,调料
枸杞,是,椭圆形
枸杞,是,长的
枸杞,需要,保温杯
枸杞,需要,肥料
枸杞,需要,热水
枸杞,需要,制造
枸杞,有,多种颜色
枸杞,有,果核
枸杞,有,浆果
枸杞,有,叶子
枸杞,有,籽
购物车,有,轮子
购物车,是,车
购物车,是,手推车
购物车,需要,推
购物车,有,把手
购物车,可以,购物
购物车,是,金属
购物车,其他,超市
购物车,像,篮子
购物车,像,婴儿车
购物车,需要,清理
购物车,可以,储物
购物车,可以,清空
购物车,是,超市的
购物车,是,推车
购物车,是,小的
购物车,需要,推车
购物车,有,车筐
购物车,有,网
购物车,有,虚拟的
购物车,可以,放商品
购物车,是,便利的
购物车,是,大的
购物车,是,电子产品
购物车,是,塑料
购物车,是,虚拟的
购物车,需要,清空
购物车,需要,人推
购物车,有,扶手
购物车,有,筐
购物车,有,容量
购物车,有,商品
购物车,有,实体的
古董,可以,收藏
古董,是,古老的
古董,需要,保护
古董,有,历史
古董,可以,买卖
古董,可以,拍卖
古董,是,贵的
古董,是,文物
古董,可以,观赏
古董,需要,保存
古董,有,价值
古董,有,年代感
古董,是,物品
古董,是,值钱的
古董,是,珍贵的
古董,需要,爱护
古董,需要,鉴定
古董,需要,维护
古董,可以,升值
古董,可以,研究
古董,是,工艺品
古董,是,收藏品
古董,是,陶瓷
古董,是,文化
古董,是,遗产
古董,是,珍奇物品
古董,是,装饰
古董,像,生活用品
古董,像,纸币
古董,需要,清洗
古董,需要,挖
古董,需要,修复
古董,有,多种种类
古董,有,年代
古董,有,岁月的痕迹
古董,有,图像
古董,有,文字
古董,有,玉石
谷物,需要,种植
谷物,有,多种种类
谷物,有,麦子
谷物,是,粮食
谷物,需要,阳光
谷物,需要,水
谷物,可以,买卖
谷物,需要,土
谷物,有,营养
谷物,需要,肥料
谷物,是,健康的
谷物,有,米
谷物,可以,饱腹
谷物,是,能量
谷物,需要,空气
谷物,有,壳
谷物,有,玉米
谷物,是,豆子
谷物,是,颗粒的
谷物,是,农作物
谷物,是,种子
谷物,是,主食
谷物,像,沙
谷物,像,石头
谷物,需要,收割
谷物,需要,煮
谷物,可以,养生
谷物,是,必需品
谷物,是,粗粮
谷物,是,黄色的
谷物,是,饲料
谷物,像,坚果
谷物,像,糖
谷物,需要,晾干
谷物,需要,去壳
谷物,有,大豆
谷物,有,高粱
谷物,有,膳食纤维
谷物,有,水稻
谷物,有,小米
谷子,需要,水
谷子,是,粮食
谷子,像,麦子
谷子,是,黄色的
谷子,需要,阳光
谷子,需要,种植
谷子,需要,空气
谷子,有,壳
谷子,需要,土
谷子,是,农作物
谷子,是,颗粒的
谷子,有,多种颜色
谷子,是,谷物
谷子,需要,收割
谷子,需要,营养
谷子,有,淀粉
谷子,有,多种种类
谷子,有,叶子
谷子,可以,买卖
谷子,可以,喂鸡
谷子,是,小米
谷子,是,庄稼
谷子,需要,剥开
谷子,有,根
谷子,有,谷穗
谷子,有,茎
谷子,可以,烹饪
谷子,是,果实
谷子,是,小的
谷子,像,黄金
谷子,像,米
谷子,有,谷壳
谷子,有,毛
谷子,有,皮
谷子,有,营养
谷子,有,种子
骨灰,是,粉末
骨灰,是,骨骼
骨灰,是,灰
骨灰,像,灰尘
骨灰,需要,燃烧
骨灰,是,灰色的
骨灰,需要,保存
骨灰,可以,纪念
骨灰,其他,人
骨灰,像,石灰
骨灰,需要,骨灰盒
骨灰,需要,盒子
骨灰,有,多种颜色
骨灰,有,磷
骨灰,有,碳
骨灰,可以,当肥料
骨灰,可以,纪念先人
骨灰,可以,祭奠
骨灰,可以,撒向大海
骨灰,其他,火葬
骨灰,其他,死人
骨灰,是,白色的
骨灰,是,火葬
骨灰,是,无机质
骨灰,是,遗体
骨灰,像,面粉
骨灰,像,奶粉
骨灰,像,沙
骨灰,需要,尸体
骨灰,有,钙
骨灰,有,氧
骨灰盒,是,盒子
骨灰盒,是,木的
骨灰盒,是,容器
骨灰盒,需要,保存
骨灰盒,有,盖子
骨灰盒,是,棺材
骨灰盒,有,骨灰
骨灰盒,有,照片
骨灰盒,可以,放骨灰
骨灰盒,是,方形的
骨灰盒,有,多种样式
骨灰盒,像,箱子
骨灰盒,需要,骨灰
骨灰盒,需要,制造
骨灰盒,可以,储物
骨灰盒,是,黑色的
骨灰盒,是,晦气的
骨灰盒,是,金属
骨灰盒,是,陶瓷
骨灰盒,是,装骨灰的容器
骨灰盒,像,礼盒
骨灰盒,需要,耐腐蚀
骨灰盒,有,多种形状
骨灰盒,有,多种型号
骨灰盒,有,多种颜色
骨灰盒,有,花纹
骨架,是,骨骼
骨架,是,白色的
骨架,其他,人
骨架,是,架子
骨架,是,硬的
骨架,可以,研究
骨架,有,钙
骨架,有,关节
骨架,可以,保护
骨架,是,支架
骨架,像,棍棒
骨架,像,骷髅
骨架,像,尸体
骨架,像,树枝
骨架,需要,保存
骨架,需要,保护
骨架,有,多种型号
骨架,有,多种样式
骨架,可以,保护内脏
骨架,可以,考古
骨架,可以,支撑
骨架,是,干的
骨架,是,结构
骨架,是,可怕的
骨架,是,长的
骨架,是,支撑
骨架,像,钢筋
骨架,像,排骨
骨架,有,肋骨
骨头,是,硬的
骨头,像,棍棒
骨头,需要,保护
骨头,有,钙
骨头,像,石头
骨头,需要,熬
骨头,是,骨骼
骨头,有,矿物质
骨头,是,白色的
骨头,是,组织
骨头,有,多种样式
骨头,可以,炖汤
骨头,有,多种型号
骨头,有,骨髓
骨头,有,活细胞
骨头,可以,生长
骨头,可以,喂狗
骨头,是,钙化组织
骨头,有,骨膜
骨头,有,营养
骨头,可以,补钙
骨头,可以,断
骨头,可以,接
骨头,其他,狗
骨头,其他,人
骨头,需要,从动物身上剔下来
骨头,需要,刀
骨头,需要,小心
骨头,需要,血液
骨头,需要,营养
骨头,有,蛋白质
骨头,有,磷
骨头,有,肉
鼓,可以,敲
鼓,可以,发声
鼓,有,鼓面
鼓,有,鼓身
鼓,是,圆形
鼓,是,圆柱形
鼓,需要,保养
鼓,是,打击类
鼓,有,多种种类
鼓,是,红色的
鼓,是,木的
鼓,有,鼓槌
鼓,可以,演奏
鼓,是,吵闹的
鼓,是,皮的
鼓,像,凳子
鼓,像,桶
鼓,可以,报时
鼓,可以,打
鼓,可以,祭祀
鼓,可以,娱乐
鼓,是,空心的
鼓,是,喜庆的
鼓,是,重的
鼓,像,耳膜
鼓,像,缸
鼓,像,桌子
鼓,需要,人
鼓,需要,维护
鼓,需要,制造
鼓,有,棒槌
鼓,有,鼓皮
鼓,有,面
鼓槌,是,木的
鼓槌,是,棍棒
鼓槌,可以,敲
鼓槌,是,乐器
鼓槌,是,棒子
鼓槌,可以,打鼓
鼓槌,需要,力
鼓槌,需要,保养
鼓槌,可以,打人
鼓槌,可以,敲鼓
鼓槌,是,打击类
鼓槌,是,圆柱形
鼓槌,像,擀面杖
鼓槌,需要,制造
鼓槌,有,多种型号
鼓槌,有,多种样式
鼓槌,可以,敲打乐器
鼓槌,是,用具
鼓槌,是,长的
鼓槌,像,筷子
鼓槌,有,把手
鼓槌,有,头
鼓槌,可以,发声
鼓槌,可以,洗衣服
鼓槌,可以,演奏
鼓槌,是,锤子
鼓槌,是,大的
鼓槌,是,细的
鼓槌,是,硬的
鼓槌,需要,打磨
鼓槌,有,两个
鼓槌,有,两根
瓜,像,球
瓜,需要,水
瓜,是,水果
瓜,需要,土
瓜,需要,阳光
瓜,需要,种植
瓜,有,皮
瓜,有,籽
瓜,需要,空气
瓜,有,多种种类
瓜,有,瓜皮
瓜,有,瓜瓤
瓜,可以,买卖
瓜,是,甜的
瓜,需要,采摘
瓜,需要,切
瓜,有,瓜子
瓜,是,圆形
瓜,像,皮球
瓜,有,果肉
瓜,有,水
瓜,有,西瓜
瓜,是,果
瓜,是,好吃的
瓜,像,气球
瓜,有,多种型号
瓜,有,多种样式
瓜,有,果实
瓜,有,哈密瓜
瓜,有,瓤
瓜,有,营养
瓜,可以,饱腹
瓜,可以,炒
瓜,可以,滚动
瓜,可以,解渴
瓜,是,绿色的
瓜,是,香的
瓜,像,葫芦
瓜,像,足球
瓜,需要,清洗
瓜,需要,营养
瓜,有,冬瓜
瓜,有,多种颜色
瓜,有,瓜蒂
瓜,有,果核
瓜,有,木瓜
瓜,有,南瓜
瓜,有,肉
瓜子,需要,炒
瓜子,是,零食
瓜子,是,种子
瓜子,需要,剥开
瓜子,有,壳
瓜子,有,果仁
瓜子,可以,买卖
瓜子,有,多种味道
瓜子,是,坚果
瓜子,需要,阳光
瓜子,需要,制造
瓜子,有,皮
瓜子,需要,种植
瓜子,有,多种种类
瓜子,有,果实
瓜子,可以,嗑
瓜子,其他,不可多吃
瓜子,其他,葵花
瓜子,是,香的
瓜子,是,小的
瓜子,是,休闲食品
瓜子,像,虫
瓜子,像,石头
瓜子,需要,采摘
瓜子,有,多种型号
瓜子,有,瓜子皮
瓜子,有,瓜子仁
瓜子,是,干的
瓜子,是,果
瓜子,是,黑色的
瓜子,是,颗粒的
瓜子,是,向日葵的种子
瓜子,是,休闲的
瓜子,是,硬的
瓜子,像,贝壳
瓜子,像,水珠
瓜子,像,牙齿
瓜子,像,眼泪
瓜子,需要,保存
瓜子,需要,干燥
瓜子,需要,烹饪
瓜子,需要,水
瓜子,需要,向日葵
瓜子,需要,煮
瓜子,有,葵花籽
瓜子,有,西瓜子
瓜子,有,油
瓜子,有,原味
拐杖,是,棍棒
拐杖,是,木的
拐杖,有,把手
拐杖,是,辅助的
拐杖,是,金属
拐杖,需要,制造
拐杖,可以,买卖
拐杖,是,长的
拐杖,可以,帮助行走
拐杖,可以,行走
拐杖,是,老年用品
拐杖,有,多种材质
拐杖,可以,打人
拐杖,是,杆子
拐杖,是,弯的
拐杖,像,树枝
拐杖,有,多种型号
拐杖,可以,辅助走路
拐杖,是,硬的
拐杖,是,用品
拐杖,像,竹子
拐杖,需要,保养
拐杖,需要,设计
拐杖,有,扶手
拐杖,可以,辅助行走
拐杖,可以,拿
拐杖,可以,探路
拐杖,是,简单的
拐杖,是,器材
拐杖,是,条状的
拐杖,是,医疗用品
拐杖,像,伞
拐杖,像,伞柄
拐杖,需要,支撑
拐杖,有,多种样式
拐杖,有,多种种类
拐杖,有,花纹
拐杖,有,油漆
关节,是,骨骼
关节,需要,保护
关节,是,连接处
关节,可以,弯曲
关节,可以,动
关节,可以,连接骨头
关节,其他,人
关节,有,关节面
关节,是,硬的
关节,像,链子
关节,有,关节囊
关节,有,关节腔
关节,其他,关节炎
关节,有,筋
关节,有,皮肤
关节,是,白色的
关节,是,器官
关节,是,组织
关节,像,轴承
关节,需要,爱护
关节,需要,保养
关节,需要,蛋白质
关节,需要,活动
关节,需要,生物
关节,需要,营养
关节,有,不同的部位
关节,有,肌肉
关节,有,韧性
关节,有,软组织
关节,有,血液
棺材,是,木的
棺材,有,盖子
棺材,是,盒子
棺材,是,黑色的
棺材,是,柜子
棺材,需要,制造
棺材,是,箱子
棺材,有,棺盖
棺材,可以,买卖
棺材,像,房屋
棺材,可以,存放尸体
棺材,可以,放尸体
棺材,可以,下葬
棺材,是,长方体
棺材,需要,尸体
棺材,有,多种型号
棺材,有,多种颜色
棺材,是,悲伤的
棺材,是,金属
棺材,是,容器
棺材,是,丧葬用品
棺材,是,用品
棺材,是,重的
棺材,像,火柴盒
棺材,像,木箱
棺材,需要,人工制作
棺材,有,多种材质
棺材,有,多种样式
棺材,有,棺椁
棺材,有,油漆
管道,是,塑料
管道,是,圆柱形
管道,是,金属
管道,是,管
管道,是,通道
管道,需要,制造
管道,是,水管
管道,是,弯的
管道,是,长的
管道,需要,安装
管道,有,多种材质
管道,可以,排水
管道,是,空心的
管道,像,吸管
管道,需要,清洗
管道,需要,维护
管道,需要,维修
管道,可以,供暖
管道,可以,流水
管道,可以,买卖
管道,可以,疏通
管道,可以,输送天然气
管道,可以,运输
管道,是,工业的
管道,是,橡胶
管道,是,直的
管道,是,装置
管道,需要,保养
管道,需要,检查
管道,需要,疏通
管道,有,洞
管道,有,多种型号
管道,有,多种样式
灌木,需要,水
灌木,需要,阳光
灌木,有,叶子
灌木,是,矮的
灌木,需要,土
灌木,像,树
灌木,有,根
灌木,需要,空气
灌木,有,树枝
灌木,可以,观赏
灌木,是,小的
灌木,像,草
灌木,是,绿色的
灌木,有,茎
灌木,可以,生长
灌木,有,多种种类
灌木,可以,光合作用
灌木,需要,种植
灌木,需要,修剪
灌木,有,树干
灌木,可以,保护环境
灌木,可以,挡风
灌木,可以,固沙
灌木,可以,绿化
灌木,可以,美化环境
灌木,是,成簇的
灌木,像,玫瑰
灌木,可以,净化空气
灌木,可以,吸收二氧化碳
灌木,是,草本类
灌木,是,篱笆
灌木,像,牡丹
灌木,像,伞
灌木,像,森林
灌木,需要,保护
灌木,需要,氧气
灌木,需要,营养
灌木,有,观果
灌木,有,观花
灌木,有,观枝干
罐头,可以,包装
罐头,有,水果
罐头,需要,制造
罐头,需要,密封
罐头,可以,保存
罐头,有,多种种类
罐头,是,金属
罐头,是,甜的
罐头,有,肉
罐头,是,罐子
罐头,是,盒子
罐头,有,水
罐头,可以,饱腹
罐头,可以,防腐
罐头,是,零食
罐头,是,速食
罐头,是,圆柱形
罐头,像,易拉罐
罐头,需要,保质
罐头,需要,冷藏
罐头,有,果汁
罐头,有,糖
罐头,有,味道
罐头,有,营养
罐头,可以,拌
罐头,是,罐装的
罐头,是,好吃的
罐头,是,密封的
罐头,是,香的
罐头,像,桶
罐头,需要,低温
罐头,需要,铁
罐头,需要,腌制
罐头,有,多种型号
罐头,有,盖子
罐头,有,橘子
罐头,有,鱼
罐头,有,猪肉
罐子,是,容器
罐子,有,盖子
罐子,可以,储物
罐子,是,圆柱形
罐子,需要,清洗
罐子,是,玻璃
罐子,是,陶瓷
罐子,像,瓶子
罐子,可以,盛物
罐子,是,物品
罐子,是,圆形
罐子,像,桶
罐子,需要,保存
罐子,需要,制造
罐子,有,多种样式
罐子,可以,买卖
罐子,可以,盛食物
罐子,是,金属
罐子,是,塑料
罐子,是,易坏的
罐子,是,易碎的
罐子,需要,密封
罐子,需要,轻拿轻放
罐子,需要,陶土
罐子,有,多种型号
罐子,有,空间
罐子,有,口
罐子,有,容量
光盘,是,圆形
光盘,可以,储存
光盘,像,镜子
光盘,像,盘子
光盘,可以,记录
光盘,可以,播放
光盘,需要,保存
光盘,是,视频
光盘,像,飞碟
光盘,需要,制造
光盘,可以,买卖
光盘,是,电子产品
光盘,是,设备
光盘,像,U盘
光盘,需要,保护
光盘,需要,光驱
光盘,有,孔
光盘,有,内容
光盘,可以,储存数据
光盘,可以,存储数据
光盘,可以,看电影
光盘,可以,刻录
光盘,可以,录图像
光盘,其他,DVD
光盘,是,存储载体
光盘,是,工具
光盘,是,亮的
光盘,像,飞镖
光盘,需要,播放器
光盘,需要,刻录
光盘,有,多种形状
光盘,有,信息
光盘,可以,播放图像
光盘,可以,反光
光盘,可以,复制
光盘,可以,录声音
光盘,是,薄的
光盘,是,材料
光盘,是,光滑的
光盘,是,片状的
光盘,是,物品
光盘,是,用品
光盘,需要,爱护
光盘,需要,清洗
光盘,有,多种型号
光盘,有,多种种类
光盘,有,容量
光盘,有,音乐
棍棒,是,木的
棍棒,是,长的
棍棒,可以,打人
棍棒,需要,制造
棍棒,是,金属
棍棒,是,硬的
棍棒,有,多种长度
棍棒,可以,防身
棍棒,是,棒子
棍棒,是,条状的
棍棒,是,圆柱形
棍棒,是,材料
棍棒,是,圆形
棍棒,像,金箍棒
棍棒,有,把手
棍棒,可以,打架
棍棒,是,工具
棍棒,是,塑料
棍棒,是,直的
棍棒,像,杆子
棍棒,像,树干
棍棒,需要,打磨
棍棒,有,不同粗细
